TYPECOM,COM,REG,DEP,CTCD,ARR,TNCC,NCC,NCCENR,LIBELLE,CAN,COMPARENT
COM,55244,44,55,55D,553,1,HERMEVILLE EN WOEVRE,Herméville-en-Woëvre,Herméville-en-Woëvre,5509,
COM,55245,44,55,55D,552,0,HEUDICOURT SOUS LES COTES,Heudicourt-sous-les-Côtes,Heudicourt-sous-les-Côtes,5513,
COM,55246,44,55,55D,551,1,HEVILLIERS,Hévilliers,Hévilliers,5510,
COM,55247,44,55,55D,552,1,HORVILLE EN ORNOIS,Horville-en-Ornois,Horville-en-Ornois,5510,
COM,55248,44,55,55D,552,1,HOUDELAINCOURT,Houdelaincourt,Houdelaincourt,5510,
COMA,55249,,,,,1,HOUDELAUCOURT SUR OTHAIN,Houdelaucourt-sur-Othain,Houdelaucourt-sur-Othain,,55500
COM,55250,44,55,55D,553,1,INOR,Inor,Inor,5514,
COM,55251,44,55,55D,551,1,IPPECOURT,Ippécourt,Ippécourt,5508,
COM,55252,44,55,55D,553,1,IRE LE SEC,Iré-le-Sec,Iré-le-Sec,5511,
COM,55253,44,55,55D,553,4,ISLETTES,Islettes,Les Islettes,5506,
COM,55254,44,55,55D,551,4,TROIS DOMAINES,Trois-Domaines,Les Trois-Domaines,5508,
COM,55255,44,55,55D,553,0,JAMETZ,Jametz,Jametz,5511,
COM,55256,44,55,55D,552,0,JONVILLE EN WOEVRE,Jonville-en-Woëvre,Jonville-en-Woëvre,5513,
COM,55257,44,55,55D,553,0,JOUY EN ARGONNE,Jouy-en-Argonne,Jouy-en-Argonne,5506,
COM,55258,44,55,55D,552,0,GEVILLE,Geville,Geville,5507,
COMA,55259,,,,,0,JUBECOURT,Jubécourt,Jubécourt,,55117
COM,55260,44,55,55D,553,0,JULVECOURT,Julvécourt,Julvécourt,5508,
COM,55261,44,55,55D,551,0,JUVIGNY EN PERTHOIS,Juvigny-en-Perthois,Juvigny-en-Perthois,5501,
COM,55262,44,55,55D,553,0,JUVIGNY SUR LOISON,Juvigny-sur-Loison,Juvigny-sur-Loison,5511,
COM,55263,44,55,55D,552,0,KOEUR LA GRANDE,Kœur-la-Grande,Kœur-la-Grande,5508,
COM,55264,44,55,55D,552,0,KOEUR LA PETITE,Kœur-la-Petite,Kœur-la-Petite,5508,
COM,55265,44,55,55D,553,0,LABEUVILLE,Labeuville,Labeuville,5509,
COM,55266,44,55,55D,553,0,LACHALADE,Lachalade,Lachalade,5506,
COM,55267,44,55,55D,552,0,LACHAUSSEE,Lachaussée,Lachaussée,5513,
COM,55268,44,55,55D,552,0,LACROIX SUR MEUSE,Lacroix-sur-Meuse,Lacroix-sur-Meuse,5513,
COM,55269,44,55,55D,552,0,LAHAYMEIX,Lahaymeix,Lahaymeix,5508,
COM,55270,44,55,55D,552,0,LAHAYVILLE,Lahayville,Lahayville,5513,
COM,55271,44,55,55D,551,0,LAHEYCOURT,Laheycourt,Laheycourt,5512,
COM,55272,44,55,55D,551,0,LAIMONT,Laimont,Laimont,5512,
COMA,55273,,,,,0,LAMARCHE EN WOEVRE,Lamarche-en-Woëvre,Lamarche-en-Woëvre,,55386
COM,55274,44,55,55D,552,0,LAMORVILLE,Lamorville,Lamorville,5513,
COM,55275,44,55,55D,553,0,LAMOUILLY,Lamouilly,Lamouilly,5514,
COM,55276,44,55,55D,553,0,LANDRECOURT LEMPIRE,Landrecourt-Lempire,Landrecourt-Lempire,5508,
COM,55278,44,55,55D,552,0,LANEUVILLE AU RUPT,Laneuville-au-Rupt,Laneuville-au-Rupt,5515,
COM,55279,44,55,55D,553,0,LANEUVILLE SUR MEUSE,Laneuville-sur-Meuse,Laneuville-sur-Meuse,5514,
